"filename", "language", "JavaScript", "XML", "Python", "CSS", "JSON", "YAML", "Markdown", "Log", "HTML", "comment", "blank", "total"
"/Users/jules/Documents/node/kiln-client/src/components/ProjectCard.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 55
"/Users/jules/Documents/node/kiln-client/src/components/ProjectCreatePage.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 45
"/Users/jules/Documents/node/kiln-client/src/components/ProjectDeletePage.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 71
"/Users/jules/Documents/node/kiln-client/src/components/ProjectEditPage.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 51
"/Users/jules/Documents/node/kiln-client/src/components/ProjectForm.js", "JavaScript", 165, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16, 187
"/Users/jules/Documents/node/kiln-client/src/components/ProjectListPage.js", "JavaScript", 126, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 139
"/Users/jules/Documents/node/kiln-client/src/components/ProjectShowPage.js", "JavaScript", 229, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 251
"/Users/jules/Documents/node/kiln-client/src/components/SegmentCreatePage.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 43
"/Users/jules/Documents/node/kiln-client/src/components/SegmentDeletePage.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 52
"/Users/jules/Documents/node/kiln-client/src/components/SegmentEditPage.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 50
"/Users/jules/Documents/node/kiln-client/src/components/SegmentForm.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 86
"/Users/jules/Documents/node/kiln-client/src/components/SegmentRow.disabled.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 19, 3, 43
"/Users/jules/Documents/node/kiln-client/src/components/SignedupPage.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/Users/jules/Documents/node/kiln-client/src/components/SignupForm.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 64
"/Users/jules/Documents/node/kiln-client/src/components/SignupPage.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"/Users/jules/Documents/node/kiln-client/src/components/SuperUserPage.js", "JavaScript", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 121
"/Users/jules/Documents/node/kiln-client/src/components/SupportPage.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/jules/Documents/node/kiln-client/src/components/UserMenu.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 51
"/Users/jules/Documents/node/kiln-client/src/components/__tests__/FiringCreatePage-test.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/jules/Documents/node/kiln-client/src/components/__tests__/ProjectListPage.test.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 46
"/Users/jules/Documents/node/kiln-client/src/database_rules.json", "JSON", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 29
"/Users/jules/Documents/node/kiln-client/src/helpers/Auth.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 64
"/Users/jules/Documents/node/kiln-client/src/helpers/PrivateRoute.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 30
"/Users/jules/Documents/node/kiln-client/src/helpers/dates.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 17
"/Users/jules/Documents/node/kiln-client/src/helpers/formHelpers.js", "JavaScript", 478, 0, 0, 0, 0, 0, 0, 0, 0, 169, 37, 684
"/Users/jules/Documents/node/kiln-client/src/helpers/logoHelpers.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 58
"/Users/jules/Documents/node/kiln-client/src/helpers/photoHelpers.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 18, 3, 64
"/Users/jules/Documents/node/kiln-client/src/helpers/timedController.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 34
"/Users/jules/Documents/node/kiln-client/src/helpers/unitHelpers.js", "JavaScript", 138, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 152
"/Users/jules/Documents/node/kiln-client/src/history.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/jules/Documents/node/kiln-client/src/hooks/useFakeUID.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseFiring.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseFirings.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
